dataset,dataset_name,context_length,method,method_name,n,primary_metric,primary_score_mean,primary_score_std,accuracy_mean,f1_mean,rouge_l_mean,tracked_gb_mean,budget_gb_mean,peak_vram_gb_mean,n_kept_kv_mean,n_skeleton_mean,n_refresh_mean,n_dropped_mean
longbench_gov_report,GovReport,32768,budgeted_recent_kv,Budgeted Recent KV,50,rouge_l,0.170696835752467,0.02923767821775443,0.0,0.1866417833178198,0.170696835752467,0.15223750656,0.15226214772,53.98522473335266,2322.96,0.0,0.0,12663.16
longbench_gov_report,GovReport,32768,budgeted_uniform_kv,Budgeted Uniform KV,50,rouge_l,0.17843805508733715,0.02573912231557446,0.0,0.2010572876393272,0.17843805508733715,0.15223750656,0.15226214772,53.98522469520569,2322.96,0.0,0.0,12663.16
longbench_gov_report,GovReport,32768,duoattention,DuoAttention,50,rouge_l,0.17948665172329917,0.029485202265884396,0.0,0.19446030612551976,0.17948665172329917,0.15223750656,0.15226214772,53.990402421951295,2322.96,0.0,0.0,12663.16
longbench_gov_report,GovReport,32768,full_kv,Full KV,50,rouge_l,0.1900700713009344,0.030789122342227363,0.0,0.21578363812233012,0.1900700713009344,0.98213036032,0.0,53.98522092819214,0.0,0.0,0.0,0.0
longbench_gov_report,GovReport,32768,h2o,H2O,50,rouge_l,0.18424858099270316,0.02850243309835324,0.0,0.21011163176464148,0.18424858099270316,0.15223750656,0.15226214772,55.87460633277893,2322.96,0.0,0.0,12663.16
longbench_gov_report,GovReport,32768,hmo_full,HMO,50,rouge_l,0.17612810234821466,0.028734787846187534,0.0,0.20207039994037296,0.17612810234821466,0.15223750656,0.15226214772,54.090099868774416,2.32,26.96,0.52,0.0
longbench_gov_report,GovReport,32768,pyramidkv_lite,PyramidKV-lite,50,rouge_l,0.17667196945003602,0.02648178077904814,0.0,0.20195620051875837,0.17667196945003602,0.152260608,0.15226214772,53.98522471427918,2323.32,0.0,0.0,12662.8
longbench_gov_report,GovReport,32768,quest_lite,Quest-lite,50,rouge_l,0.184983502667983,0.02635979318839555,0.0,0.20504108908857027,0.184983502667983,0.14998962176,0.15226214772,53.98522469520569,2288.66,0.0,0.0,12697.46
longbench_gov_report,GovReport,32768,sagekv_lite,SAGE-KV-lite,50,rouge_l,0.1755471602076128,0.020721134789790773,0.0,0.1980344757456259,0.1755471602076128,0.15223750656,0.15226214772,53.98522474288941,2322.96,0.0,0.0,12663.16
longbench_gov_report,GovReport,32768,snapkv,SnapKV,50,rouge_l,0.18034042126214275,0.022962916603755275,0.0,0.20108459063063133,0.18034042126214275,0.15223750656,0.15226214772,53.98528081893921,2322.96,0.0,0.0,12663.16
longbench_gov_report,GovReport,32768,streamingllm,StreamingLLM,50,rouge_l,0.170696835752467,0.02923767821775443,0.0,0.1866417833178198,0.170696835752467,0.15223750656,0.15226214772,53.99040238380432,2322.96,0.0,0.0,12663.16
longbench_hotpotqa,HotpotQA,32768,budgeted_recent_kv,Budgeted Recent KV,50,f1,0.5784935064935065,0.4323076065507741,0.44,0.5784935064935065,0.0,0.14995292159999998,0.14997415494,53.9350625038147,2288.1,0.0,0.0,12497.22
longbench_hotpotqa,HotpotQA,32768,budgeted_uniform_kv,Budgeted Uniform KV,50,f1,0.6189624060150376,0.42302027002952103,0.48,0.6189624060150376,0.0,0.14995292159999998,0.14997415494,53.9350625038147,2288.1,0.0,0.0,12497.22
longbench_hotpotqa,HotpotQA,32768,duoattention,DuoAttention,50,f1,0.6472380952380953,0.4245769830224805,0.52,0.6472380952380953,0.0,0.14995292159999998,0.14997415494,53.94015914916992,2288.1,0.0,0.0,12497.22
longbench_hotpotqa,HotpotQA,32768,full_kv,Full KV,50,f1,0.6794603174603174,0.3941521909230918,0.54,0.6794603174603174,0.0,0.96897073152,0.0,53.93506202697754,0.0,0.0,0.0,0.0
longbench_hotpotqa,HotpotQA,32768,h2o,H2O,50,f1,0.6870793650793651,0.39012876659194173,0.52,0.6870793650793651,0.0,0.14995292159999998,0.14997415494,55.79902467727661,2288.1,0.0,0.0,12497.22
longbench_hotpotqa,HotpotQA,32768,hmo_full,HMO,50,f1,0.6740676691729324,0.39900903026891726,0.54,0.6740676691729324,0.0,0.14995292159999998,0.14997415494,54.10059193611145,2.34,25.38,1.2,0.54
longbench_hotpotqa,HotpotQA,32768,pyramidkv_lite,PyramidKV-lite,50,f1,0.6210562770562771,0.40353086180006664,0.46,0.6210562770562771,0.0,0.14997282816,0.14997415494,53.9350625038147,2288.34,0.0,0.0,12496.98
longbench_hotpotqa,HotpotQA,32768,quest_lite,Quest-lite,50,f1,0.6787460317460318,0.39489675098757043,0.54,0.6787460317460318,0.0,0.1478098944,0.14997415494,53.9350625038147,2255.4,0.0,0.0,12529.92
longbench_hotpotqa,HotpotQA,32768,sagekv_lite,SAGE-KV-lite,50,f1,0.6268268398268398,0.40468704636842245,0.46,0.6268268398268398,0.0,0.14995292159999998,0.14997415494,53.9350625038147,2288.1,0.0,0.0,12497.22
